date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:53:01	2545/2545	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22e4b15813ffdae21168034cb49446aab8%22	https://site152010.nicepage.io/robots.txt		(from )
21:53:01	10269/10269	---M-Z	200	added ('OK')	text/html	etag:W/%227d4c42d59ec652021809988952a3cd70%22	https://site152010.nicepage.io/	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/site152010.nicepage.io/index.html	(from )
21:53:04	629799/629799	---MCZ	200	added ('OK')	text/css	etag:W/%22c9441984bb6f440435bd96ffd31359e2%22	http://capp.nicepage.com/9f3c9ae516acfc74c24483c7e511ab90658c5545/nicepage.css	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/capp.nicepage.com/9f3c9ae516acfc74c24483c7e511ab90658c5545/nicepage.css	(from https://site152010.nicepage.io/)
21:53:04	3016/3016	---M-Z	200	added ('OK')	text/css	etag:W/%22fbdd554d8b02fb29eeae7924ed463076%22	https://site152010.nicepage.io/Home.css	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/site152010.nicepage.io/Home.css	(from https://site152010.nicepage.io/)
21:53:09	315721/315721	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22497aca6e39af948dac1a610d7078b21d%22	http://capp.nicepage.com/9f3c9ae516acfc74c24483c7e511ab90658c5545/nicepage.js	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/capp.nicepage.com/9f3c9ae516acfc74c24483c7e511ab90658c5545/nicepage.js	(from https://site152010.nicepage.io/)
21:53:09	5162/5162	---MC-	200	added ('OK')	text/css	date:Sun,%2030%20Jul%202023%2020:53:07%20GMT	https://fonts.googleapis.com/css?family=Roboto:100,100i,300,300i,400,400i,500,500i,700,700i,900,900i|Open+Sans:300,300i,400,400i,500,500i,600,600i,700,700i,800,800i	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/fonts.googleapis.com/css9279.css	(from https://site152010.nicepage.io/)
21:53:10	790758/790758	---M-Z	200	added ('OK')	text/css	etag:W/%2283161e5e15852b9e7d6cb6265c01dd10%22	https://site152010.nicepage.io/nicepage-site.css	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/site152010.nicepage.io/nicepage-site.css	(from https://site152010.nicepage.io/)
21:53:10	3663/3663	---MC-	200	added ('OK')	text/css	date:Sun,%2030%20Jul%202023%2020:53:11%20GMT	https://fonts.googleapis.com/css?family=Epilogue:100,100i,200,200i,300,300i,400,400i,500,500i,600,600i,700,700i,800,800i,900,900i	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/fonts.googleapis.com/css210f.css	(from https://site152010.nicepage.io/)
21:53:10	14289/14289	---M-Z	200	added ('OK')	text/html	etag:W/%22fececf79ef152b17c80d011e987eae7d%22	https://site152010.nicepage.io/About-Me.html	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/site152010.nicepage.io/About-Me.html	(from https://site152010.nicepage.io/)
21:53:10	10262/10262	---M-Z	200	added ('OK')	text/html	etag:W/%222832eee9eb779293e791d5a8bd29a9be%22	https://site152010.nicepage.io/Projects.html	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/site152010.nicepage.io/Projects.html	(from https://site152010.nicepage.io/)
